sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2	reads_primers_fwd	reads_primers_rvs	reads_filtered_fwd	reads_filtered_rvs	reads_tabled	reads_chimera_checked	reads_tax.length_filtered
e03442-F-20240509	e03442-F-20240509	1	e03442-F_S458_L001_R1_001.fastq.gz	e03442-F_S458_L001_R2_001.fastq.gz	17015	17015	16779	16779	16589	16589	13625	13615	13615
e03443-D-20240509	e03443-D-20240509	1	e03443-D_S293_L001_R1_001.fastq.gz	e03443-D_S293_L001_R2_001.fastq.gz	19263	19263	18969	18969	18754	18754	16825	16824	16824
e03443-E-20240509	e03443-E-20240509	1	e03443-E_S376_L001_R1_001.fastq.gz	e03443-E_S376_L001_R2_001.fastq.gz	29056	29056	28646	28646	28501	28501	25191	25115	25115
e03443-F-20240509	e03443-F-20240509	1	e03443-F_S459_L001_R1_001.fastq.gz	e03443-F_S459_L001_R2_001.fastq.gz	25892	25892	25526	25526	25425	25425	24640	24263	24263
e03444-D-20240509	e03444-D-20240509	1	e03444-D_S294_L001_R1_001.fastq.gz	e03444-D_S294_L001_R2_001.fastq.gz	30221	30221	29802	29802	25378	25378	23246	22786	22786
e03444-E-20240509	e03444-E-20240509	1	e03444-E_S377_L001_R1_001.fastq.gz	e03444-E_S377_L001_R2_001.fastq.gz	21454	21454	21159	21159	20955	20955	17611	17415	17415
e03444-F-20240509	e03444-F-20240509	1	e03444-F_S460_L001_R1_001.fastq.gz	e03444-F_S460_L001_R2_001.fastq.gz	28435	28435	28102	28102	27946	27946	26770	26054	26054
e03445-D-20240509	e03445-D-20240509	1	e03445-D_S295_L001_R1_001.fastq.gz	e03445-D_S295_L001_R2_001.fastq.gz	35611	35611	35151	35151	35042	35042	33063	32807	32807
e03445-E-20240509	e03445-E-20240509	1	e03445-E_S378_L001_R1_001.fastq.gz	e03445-E_S378_L001_R2_001.fastq.gz	24940	24940	24592	24592	24461	24461	21031	21031	21031
e03445-F-20240509	e03445-F-20240509	1	e03445-F_S461_L001_R1_001.fastq.gz	e03445-F_S461_L001_R2_001.fastq.gz	33234	33234	32788	32788	32656	32656	30447	29964	29964
e03446-D-20240509	e03446-D-20240509	1	e03446-D_S296_L001_R1_001.fastq.gz	e03446-D_S296_L001_R2_001.fastq.gz	19248	19248	18998	18998	18919	18919	18410	18281	18281
e03446-E-20240509	e03446-E-20240509	1	e03446-E_S379_L001_R1_001.fastq.gz	e03446-E_S379_L001_R2_001.fastq.gz	25760	25760	25399	25399	25230	25230	24217	23457	23457
e03446-F-20240509	e03446-F-20240509	1	e03446-F_S462_L001_R1_001.fastq.gz	e03446-F_S462_L001_R2_001.fastq.gz	25332	25332	24991	24991	24827	24827	23924	23606	23606
e03447-D-20240509	e03447-D-20240509	1	e03447-D_S298_L001_R1_001.fastq.gz	e03447-D_S298_L001_R2_001.fastq.gz	33456	33456	33031	33031	32870	32870	31515	30924	30924
e03447-E-20240509	e03447-E-20240509	1	e03447-E_S381_L001_R1_001.fastq.gz	e03447-E_S381_L001_R2_001.fastq.gz	6877	6877	6790	6790	6737	6737	6095	6017	6017
e03447-F-20240509	e03447-F-20240509	1	e03447-F_S464_L001_R1_001.fastq.gz	e03447-F_S464_L001_R2_001.fastq.gz	15450	15450	15259	15259	15022	15022	14353	13926	13926
e03448-D-20240509	e03448-D-20240509	1	e03448-D_S299_L001_R1_001.fastq.gz	e03448-D_S299_L001_R2_001.fastq.gz	42073	42073	41531	41531	41374	41374	38997	38451	38448
e03448-E-20240509	e03448-E-20240509	1	e03448-E_S382_L001_R1_001.fastq.gz	e03448-E_S382_L001_R2_001.fastq.gz	33965	33965	33496	33496	33250	33250	29444	29053	29053
e03448-F-20240509	e03448-F-20240509	1	e03448-F_S465_L001_R1_001.fastq.gz	e03448-F_S465_L001_R2_001.fastq.gz	20621	20621	20342	20342	20256	20256	19379	19104	19104
e03449-D-20240509	e03449-D-20240509	1	e03449-D_S300_L001_R1_001.fastq.gz	e03449-D_S300_L001_R2_001.fastq.gz	74	74	74	74	59	59	50	50	50
e03449-E-20240509	e03449-E-20240509	1	e03449-E_S383_L001_R1_001.fastq.gz	e03449-E_S383_L001_R2_001.fastq.gz	264	264	261	261	248	248	162	162	86
e03449-F-20240509	e03449-F-20240509	1	e03449-F_S466_L001_R1_001.fastq.gz	e03449-F_S466_L001_R2_001.fastq.gz	65	65	59	59	51	51	42	42	42
e03450-D-20240509	e03450-D-20240509	1	e03450-D_S301_L001_R1_001.fastq.gz	e03450-D_S301_L001_R2_001.fastq.gz	30874	30874	30454	30454	30287	30287	28422	28001	28001
e03450-E-20240509	e03450-E-20240509	1	e03450-E_S384_L001_R1_001.fastq.gz	e03450-E_S384_L001_R2_001.fastq.gz	35917	35917	35456	35456	35231	35231	32111	31863	31858
e03450-F-20240509	e03450-F-20240509	1	e03450-F_S467_L001_R1_001.fastq.gz	e03450-F_S467_L001_R2_001.fastq.gz	33602	33602	33189	33189	33037	33037	30922	30791	30791
e03451-D-20240509	e03451-D-20240509	1	e03451-D_S302_L001_R1_001.fastq.gz	e03451-D_S302_L001_R2_001.fastq.gz	3762	3762	3696	3696	3505	3505	78	78	78
e03451-E-20240509	e03451-E-20240509	1	e03451-E_S385_L001_R1_001.fastq.gz	e03451-E_S385_L001_R2_001.fastq.gz	8956	8956	8803	8803	8488	8488	128	128	128
e03451-F-20240509	e03451-F-20240509	1	e03451-F_S468_L001_R1_001.fastq.gz	e03451-F_S468_L001_R2_001.fastq.gz	34529	34529	34072	34072	31230	31230	28511	28265	28265
e03452-D-20240509	e03452-D-20240509	1	e03452-D_S303_L001_R1_001.fastq.gz	e03452-D_S303_L001_R2_001.fastq.gz	34735	34735	34290	34290	34153	34153	31882	31729	31729
e03452-E-20240509	e03452-E-20240509	1	e03452-E_S386_L001_R1_001.fastq.gz	e03452-E_S386_L001_R2_001.fastq.gz	25905	25905	25536	25536	25388	25388	23579	23220	23220
