"","extraction_ID","alternative_ID","collection_year","collection_month","collection_day","location1","depth","longitude","latitude","sample_ID","replicate","sample_type","taxon","taxonomic_level","species","genus","family","order","class","kingdom","reads"
"39","e03354","NW2301_3_10_1",2023,8,30,3,10,-169.953,60.0022,"e03354-A","A","sample","Oncorhynchus keta","species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Eukaryota",2694
"40","e03354","NW2301_3_10_1",2023,8,30,3,10,-169.953,60.0022,"e03354-A","A","sample","Oncorhynchus tshawytscha","species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Eukaryota",5
"41","e03354","NW2301_3_10_1",2023,8,30,3,10,-169.953,60.0022,"e03354-B","B","sample","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Eukaryota",22581
"42","e03354","NW2301_3_10_1",2023,8,30,3,10,-169.953,60.0022,"e03354-B","B","sample","Mallotus villosus","species","Mallotus villosus","Mallotus","Salangidae","Osmeriformes","Actinopteri","Eukaryota",4
"43","e03354","NW2301_3_10_1",2023,8,30,3,10,-169.953,60.0022,"e03354-B","B","sample","Oncorhynchus nerka","species","Oncorhynchus nerka","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Eukaryota",14
"44","e03354","NW2301_3_10_1",2023,8,30,3,10,-169.953,60.0022,"e03354-B","B","sample","Oncorhynchus tshawytscha","species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Eukaryota",4
"45","e03354","NW2301_3_10_1",2023,8,30,3,10,-169.953,60.0022,"e03354-C","C","sample","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Eukaryota",13730
"46","e03354","NW2301_3_10_1",2023,8,30,3,10,-169.953,60.0022,"e03354-C","C","sample","Oncorhynchus","genus",NA,"Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Eukaryota",5
"47","e03354","NW2301_3_10_1",2023,8,30,3,10,-169.953,60.0022,"e03354-C","C","sample","Oncorhynchus keta","species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Eukaryota",12
"48","e03354","NW2301_3_10_1",2023,8,30,3,10,-169.953,60.0022,"e03354-C","C","sample","Oncorhynchus tshawytscha","species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Eukaryota",4
"49","e03355","NW2301_3_10_2",2023,8,30,3,10,-169.953,60.0022,"e03355-A","A","sample","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Eukaryota",12707
"50","e03355","NW2301_3_10_2",2023,8,30,3,10,-169.953,60.0022,"e03355-A","A","sample","Oncorhynchus keta","species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Eukaryota",3521
"51","e03355","NW2301_3_10_2",2023,8,30,3,10,-169.953,60.0022,"e03355-A","A","sample","Oncorhynchus nerka","species","Oncorhynchus nerka","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Eukaryota",1838
"52","e03355","NW2301_3_10_2",2023,8,30,3,10,-169.953,60.0022,"e03355-A","A","sample","Oncorhynchus tshawytscha","species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Eukaryota",2
"53","e03355","NW2301_3_10_2",2023,8,30,3,10,-169.953,60.0022,"e03355-A","A","sample","Pleuronectidae","family",NA,NA,"Pleuronectidae","Pleuronectiformes","Actinopteri","Eukaryota",1098
"54","e03355","NW2301_3_10_2",2023,8,30,3,10,-169.953,60.0022,"e03355-B","B","sample","Ammodytes personatus","species","Ammodytes personatus","Ammodytes","Ammodytidae","Uranoscopiformes","Actinopteri","Eukaryota",533
"55","e03355","NW2301_3_10_2",2023,8,30,3,10,-169.953,60.0022,"e03355-B","B","sample","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Eukaryota",20811
"56","e03355","NW2301_3_10_2",2023,8,30,3,10,-169.953,60.0022,"e03355-B","B","sample","Oncorhynchus","genus",NA,"Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Eukaryota",2180
"57","e03355","NW2301_3_10_2",2023,8,30,3,10,-169.953,60.0022,"e03355-B","B","sample","Oncorhynchus nerka","species","Oncorhynchus nerka","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Eukaryota",5925
"58","e03355","NW2301_3_10_2",2023,8,30,3,10,-169.953,60.0022,"e03355-B","B","sample","Oncorhynchus tshawytscha","species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Eukaryota",6
