"","site","ID","lon","lat","bdepth","slope","aspectE","aspectN","curve","btemp","bcurrentU","bcurrentV","bcurrentUSD","bcurrentVSD","tmax","phi","BPI","sponge","bottomtemp_2023","surfacetemp_2023"
"11","10_10",11,-695172.25,1291821.375,16.351957321167,0.0187389850616455,0.983063459396362,0.175808876752853,-3.65229352610186e-05,9.80353832244873,-0.00346104893833399,0.0138032380491495,0.00461656972765923,0.00417587719857693,37.1366767883301,2.94690799713135,0,0,9.9212064743042,9.95045948028564
"12","11_10",12,-748172.25,1302821.375,20.0223255157471,0.0622743144631386,-0.974042057991028,0.225962311029434,0.000124898069771007,8.5093469619751,-0.00491404440253973,0.00847229454666376,0.00387440528720617,0.00279599567875266,41.7329444885254,3.27937912940979,0.697393596172333,0,9.26375770568848,9.07729721069336
"13","12_10",13,-800172.25,1314821.375,25.8456192016602,0.0405132509768009,-0.442007631063461,-0.896283447742462,-1.14976455733995e-06,5.71946334838867,-0.00373700400814414,0.000598932965658605,0.00699832011014223,0.00870688818395138,36.8010330200195,3.66483068466187,2.37961339950562,0,6.98071527481079,8.16789150238037
"14","13_10",14,-853172.25,1326821.375,38.0837364196777,0.0198075398802757,-0.989613234996796,-0.135510414838791,-3.61838533535774e-06,2.33100986480713,-0.00117177271749824,0.000821403111331165,0.00500127067789435,0.00416475720703602,27.8783226013184,3.98531079292297,0,0,1.8699654340744,8.74523162841797
"15","13_30",15,-853172.25,1326821.375,38.0837364196777,0.0198075398802757,-0.989613234996796,-0.135510414838791,-3.61838533535774e-06,2.33100986480713,-0.00117177271749824,0.000821403111331165,0.00500127067789435,0.00416475720703602,27.8783226013184,3.98531079292297,0,0,1.8699654340744,8.74523162841797
"16","14_10",16,-907172.25,1340821.375,54.831356048584,0.0606465674936771,-0.175545781850815,-0.908116042613983,-6.78811702528037e-05,0.00944743305444717,-0.000197232002392411,-0.00123464514035732,0.00672553945332766,0.00627314858138561,25.6497173309326,4.85774278640747,-0.881871938705444,0,-0.666005969047546,8.77294063568115
"17","15_10",17,-892172.25,1393821.375,51.7191581726074,0.011300721205771,-0.896821320056915,0.440624803304672,-3.97379290006938e-06,0.0941323786973953,-0.000417101429775357,0.000557477062102407,0.00711365276947618,0.00763960182666779,23.6008567810059,4.41614151000977,0,0,-0.0262573547661304,8.54434776306152
"18","15_40",18,-892172.25,1393821.375,51.7191581726074,0.011300721205771,-0.896821320056915,0.440624803304672,-3.97379290006938e-06,0.0941323786973953,-0.000417101429775357,0.000557477062102407,0.00711365276947618,0.00763960182666779,23.6008567810059,4.41614151000977,0,0,-0.0262573547661304,8.54434776306152
"19","16_10",19,-842172.25,1381821.375,38.5415267944336,0.0911610871553421,-0.224970281124115,0.971120417118073,0.000343842664733529,1.62575542926788,-0.00134476739913225,0.00149725354276597,0.00490873027592897,0.00638202484697104,24.6382102966309,3.84864974021912,3,0,0.817125022411346,8.11613273620605
"20","17_10",20,-790172.25,1369821.375,33.4441986083984,0.0345206819474697,-0.941874325275421,0.291286885738373,-8.63696332089603e-05,4.4309287071228,-0.00244966009631753,0.00447786645963788,0.00404284289106727,0.0108232581987977,31.5277996063232,3.57177233695984,0,0,5.10196876525879,7.95879173278809
